"Timestamp","How long have you been working on developing software?","How frequently do or did you answer questions on Stack Overflow?","How frequently do or did you include code snippets in your answers on Stack Overflow?","Where did the code snippets in your answers come from? [I copied them from my own personal projects.]","Where did the code snippets in your answers come from? [I copied them from my company's projects.]","Where did the code snippets in your answers come from? [I copied them from open source projects.]","Where did the code snippets in your answers come from? [I wrote the new code from scratch.]","Where did the code snippets in your answers come from? [I copied the code from the question and modified it for the answer.]","Where did the code snippets in your answers come from? [Others]","Were you aware, at the time of copying the code, that Stack Overflow apply Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) to content in the posts, including code snippets?","Do you usually include a software license in your code snippets on Stack Overflow?","How frequently did you check the software license of the code snippets you copy to Stack Overflow if they conflict with Stack Overflow's CC BY-SA 3.0 license?","Outdated code occurs when code snippets in your answers are no longer up-to-date with the latest version of the software you copied the code from. Have you ever been notified of outdated code in your Stack Overflow answers? ","How frequently were you notified of outdated or deprecated code in your Stack Overflow answers?","How frequently did you fix your outdated code on Stack Overflow?","Do you have any other concerns regarding answering Stack Overflow with code snippets?"
"2017/07/27 3:28:32 PM GMT+1","5 - 10 years","Very Rarely (roughly once or twice a year)","Occasionally (41--60% of the time)","Very rarely","Never","Rarely","Frequently","Never","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/27 5:35:13 PM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Occasionally (41--60% of the time)","Occasionally","Occasionally","Frequently","Rarely","Very rarely","Never","Yes","No.","Never (0% of the time)","No","Very rarely (1--20% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/27 6:45:47 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Occasionally","Never","Very rarely","Very frequently","Very frequently","Occasionally","Yes","No.","Very rarely (1--20% of the time)","No","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)","The point of snippets are that they are trivial. I mostly write from scratch or copy-&-fix a snippet from the question. Most are illustrative or incomplete - they aren't of any value at all in isolation. They rarely take more than a few minutes to write, and it's usually harder to explain what they're doing in plain English.
Where something is large enough to worth the effort of licensing then it's far too big for a snippet. In those cases I create a GitHub project (with a license) and link to it.
I'd be wary of increased IP controls - I doubt there is value they could add to snippets, but they could create significant barriers to contributors, which would hurt the site."
"2017/07/27 9:36:22 PM GMT+1","5 - 10 years","Very Rarely (roughly once or twice a year)","Occasionally (41--60% of the time)","Very rarely","Never","Never","Very frequently","Occasionally","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/27 9:51:32 PM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Very rarely","Never","Never","Very frequently","Frequently","Never","No","No.","Never (0% of the time)","No","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/27 10:13:37 PM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Very Frequently (81--100% of the time)","Very frequently","Frequently","Very rarely","Frequently","Frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/27 10:14:40 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Rarely","Occasionally","Frequently","Very frequently","Very frequently","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 10:18:15 PM GMT+1","More than 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Rarely","Never","Never","Very frequently","Frequently","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Never (0% of the cases)",""
"2017/07/27 10:39:17 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Occasionally","Never","Very rarely","Very frequently","Rarely","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)","I always try to see what kind of person is asking the question. If it is a student, I don't want to just hand out the answer; they will learn nothing from that. If, on the other hand, it's somebody looking for best practices or a clever trick, I'm not too worried about giving out the solution. In this case, chances are much higher that the person asking the question will go ""Ahh, yes, of course!"" and understand the question, whereas some students are more likely to mindlessly copy-paste the answer.

However, it is also a competitive site, so if your answer requires too much work to incorporate, it won't get accepted or upvoted. As a result, some people—I'm guilty of this myself, I'm sure—will hand out an answer willy-nilly that might solve the problem at hand, but in the long run be a disservice to the person asking.

But I digress: My point is that it's sometimes better to describe a solution rather than just hand off a code snippet. However, since your project seems to pertain to copyright issues, I suppose that's not relevant to you.

- kba"
"2017/07/27 10:41:43 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Rarely","Never","Very rarely","Very frequently","Occasionally","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 10:47:11 PM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Rarely (21--40% of the time)","Rarely","Never","Rarely","Occasionally","Frequently","Never","Yes","No.","Rarely (21--40% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/27 10:55:38 PM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Rarely","Rarely","Never","Very frequently","Frequently","Never","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)","I'm not sure it's possible to include a license in your questions/answers. I'm not sure what the legal ramifications would be if you tried it, since you already agreed to S.O.'s terms. This is a very interesting question and I look forward to hearing the results of your research."
"2017/07/27 11:04:29 PM GMT+1","3 - 5 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Very frequently","Occasionally","Very frequently","Frequently","Very frequently","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/27 11:04:30 PM GMT+1","3 - 5 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Very frequently","Occasionally","Very frequently","Frequently","Very frequently","Never","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/27 11:50:18 PM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Occasionally (41--60% of the time)","Frequently","Frequently","Very frequently","Frequently","Very frequently","Frequently","Yes","No.","Very rarely (1--20% of the time)","No","Never (0% of my answers)","",""
"2017/07/27 11:52:41 PM GMT+1","More than 10 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Very rarely","Never","Never","Very frequently","Occasionally","Very rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very rarely (1--20% of the cases)",""
"2017/07/27 11:52:55 PM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Frequently (61--80% of the time)","Occasionally","Never","Rarely","Frequently","Very rarely","Never","Yes","No.","Rarely (21--40% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/27 11:54:35 PM GMT+1","3 - 5 years","Very Frequently (every day)","Occasionally (41--60% of the time)","Very frequently","Never","Never","Very frequently","Very frequently","Occasionally","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/27 11:55:33 PM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Frequently","Very rarely","Occasionally","Very frequently","Frequently","Occasionally","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)","I think it's important to realise the code snippets are designed to be very small, useful to illustrate concepts (10 lines or less). When you consider licensing laws of such a small amount of code, while technically may be violating a licence, in practice it would be nearly impossible to enforce such a claim. "
"2017/07/28 12:00:41 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Occasionally","Occasionally","Frequently","Occasionally","Rarely","Rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/28 12:34:38 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Very frequently","Never","Never","Frequently","Very rarely","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 12:43:43 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Never","Never","Frequently","Rarely","Never","Yes","No.","Rarely (21--40% of the time)","No","Very rarely (1--20% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/28 1:04:51 AM GMT+1","More than 10 years","Rarely (roughly once or twice a month)","Very Rarely (1--20% of the time)","Very frequently","Never","Never","Very frequently","Frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 1:53:27 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Never","Never","Never","Very frequently","Never","Never","No","No.","Never (0% of the time)","Yes","Rarely (21--40% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/28 1:57:34 AM GMT+1","1 - 2 years","Very Frequently (every day)","Very Frequently (81--100% of the time)","Rarely","Never","Never","Frequently","Frequently","Rarely","No","No.","Very rarely (1--20% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 3:58:41 AM GMT+1","5 - 10 years","Very Frequently (every day)","Frequently (61--80% of the time)","Very frequently","Rarely","Rarely","Frequently","Occasionally","Occasionally","Yes","No.","Rarely (21--40% of the time)","Yes","Rarely (21--40% of my answers)","Occasionally (41--60% of the cases)",""
"2017/07/28 5:00:53 AM GMT+1","3 - 5 years","Rarely (roughly once or twice a month)","Very Frequently (81--100% of the time)","Very rarely","Never","Never","Very frequently","Rarely","Very rarely","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Occasionally (41--60% of the cases)","so code snippets are great but there is lot to improve .
it's hard to edit and see output in so but website like jsfiddle , jsbin provide nice interface where code editing and output is easy to do.

outer thing is in so lot of code snippets doesnt work because some users doesnt add libraries like angular , jquery i think it's better if so can identify and ask user to auto inject relevant libraries "
"2017/07/28 6:48:40 AM GMT+1","3 - 5 years","Rarely (roughly once or twice a month)","Frequently (61--80% of the time)","Very rarely","Never","Rarely","Frequently","Occasionally","Very rarely","Yes","Yes, in a text surrounding the source code.","Very rarely (1--20% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 7:20:00 AM GMT+1","5 - 10 years","Rarely (roughly once or twice a month)","Very Frequently (81--100% of the time)","Frequently","Rarely","Very rarely","Very frequently","Very frequently","Occasionally","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 7:43:34 AM GMT+1","3 - 5 years","Occasionally (roughly once or twice a week)","Occasionally (41--60% of the time)","Occasionally","Rarely","Never","Very frequently","Frequently","Occasionally","No","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 7:43:59 AM GMT+1","5 - 10 years","Very Rarely (roughly once or twice a year)","Frequently (61--80% of the time)","Rarely","Rarely","Rarely","Frequently","Frequently","Very frequently","No","No.","Never (0% of the time)","No","Rarely (21--40% of my answers)","Rarely (21--40% of the cases)",""
"2017/07/28 7:49:32 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Frequently","Occasionally","Occasionally","Very frequently","Very frequently","Occasionally","Yes","No.","Very Frequently (81--100% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 8:09:26 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Very rarely","Never","Frequently","Very rarely","Very rarely","No","No.","Never (0% of the time)","No","Never (0% of my answers)","","No I don't have any."
"2017/07/28 8:09:48 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Occasionally","Never","Very rarely","Very frequently","Very frequently","Occasionally","Yes","No.","Rarely (21--40% of the time)","Yes","Very rarely (1--20% of my answers)","Very frequently (81--100% of the cases)",""
"2017/07/28 9:06:16 AM GMT+1","5 - 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very frequently","Never","Rarely","Very frequently","Very rarely","Never","Yes","No.","Rarely (21--40% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/28 9:34:29 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Very rarely","Very rarely","Rarely","Very frequently","Occasionally","Very rarely","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 9:58:17 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Frequently (61--80% of the time)","Occasionally","Occasionally","Very rarely","Occasionally","Occasionally","Occasionally","Yes","No.","Never (0% of the time)","Yes","Very rarely (1--20% of my answers)","Frequently (61--80% of the cases)",""
"2017/07/28 10:13:33 AM GMT+1","More than 10 years","Frequently (roughly 3-6 times a week)","Occasionally (41--60% of the time)","Rarely","Never","Rarely","Frequently","Rarely","Never","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 10:33:11 AM GMT+1","3 - 5 years","Frequently (roughly 3-6 times a week)","Very Frequently (81--100% of the time)","Occasionally","Very rarely","Occasionally","Frequently","Very frequently","Very rarely","Yes","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
"2017/07/28 11:11:40 AM GMT+1","More than 10 years","Occasionally (roughly once or twice a week)","Very Frequently (81--100% of the time)","Very rarely","Never","Very rarely","Very frequently","Very frequently","Never","No","No.","Never (0% of the time)","No","Never (0% of my answers)","",""
