No. of LOC, Occurrences
Compiere_330_Source/release_330/ad/src/org/compiere/model/MLocatorLookup.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/MLookupInfo.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/MPInstance.java,2
Compiere_330_Source/release_330/ad/src/org/compiere/model/MProcess.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/MRole.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/MWarehouse.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_BView_SourceType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_BView_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_ChangeLog_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Color_StartPoint.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Column_ConstraintType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Element_Data_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Field_ObscureType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Menu_Action.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_PrintFormatItem_BarcodeType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_PrintFormatItem_ShapeType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_PrintPaper_Units.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_PrintTableFormat_Stroke.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_ReportTemplate_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Role_DisplayClientOrg.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Role_WinUserDefLevel.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_Table_SubTableType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_User_ConnectionProfile.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_User_NotificationType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_AD_WF_Node_EMailRecipient.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_APAR.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_CM_ChatEntry_ModeratorStatus.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_CM_Chat_ModerationType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_CM_Container_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_CM_Media_Media_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_AcctSchema_CostingLevel.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_AcctSchema_Costing_Method.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_BP_Group_PriorityBase.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_BPartner_BPBankAcctUse.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_BPartner_SOCreditStatus.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Client_Invoice_MatchRequirement.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Client_Receipt_MatchRequirement.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_DocType_SubTypeSO.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_ElementValue_AccountType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_ElementValue_Account_Sign.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Invoice_InvoiceCollectionType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Lead_Rating.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Order_DeliveryRule.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Order_DeliveryViaRule.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Order_FreightCostRule.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Order_InvoiceRule.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Payment_AVS.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Payment_CreditCard_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Payment_Tender_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Payment_Trx_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_PeriodControl_Status.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_C_Project_InvoiceRule.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_GL_Budget_Status.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_M_Discount_CumulativeLevel.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_M_Product_BOM_Product_TypeX.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_M_Replenishment_Create.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_M_WorkOrder_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_M_WorkOrder_WOSource.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_PA_Report_AmountType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_PA_Report_CalculationType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_PA_Report_CurrencyType.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_PickMethod.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_R_Request_Next_Action.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_R_Request_TaskStatus.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_SupportLevel.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_WF_DurationUnit.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_WF_Start_Finish_Mode.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_WF_SubFlow_Execution.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref_Weekdays.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__Database_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__EmployeeRange.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__Frequency_Type.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__IndustryCode.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__Payment_Rule.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__PriorityRule.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__Rating__ABC_.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/model/X_Ref__YesNo.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/plaf/CompierePLAF.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/plaf/CompiereUtils.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/process/DocActionTemplate.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/tools/GenerateModel.java,4
Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_EN.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_FR.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/util/CLogFile.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/util/CachedRowSetImpl.java,1
Compiere_330_Source/release_330/ad/src/org/compiere/util/DB.java,8
Compiere_330_Source/release_330/ad/src/org/compiere/util/WeakArrayList.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/GridTab.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/GridTable.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MAllocationHdr.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MAsset.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MBPartner.java,5
Compiere_330_Source/release_330/base/src/org/compiere/model/MBankStatement.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MCash.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MCostUpdate.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MGoal.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MImage.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MInOut.java,2
Compiere_330_Source/release_330/base/src/org/compiere/model/MInOutConfirm.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MInventory.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MInvoice.java,3
Compiere_330_Source/release_330/base/src/org/compiere/model/MInvoiceLine.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MJournal.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MJournalBatch.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MMovement.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MMovementConfirm.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MOrder.java,10
Compiere_330_Source/release_330/base/src/org/compiere/model/MPayment.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MRequest.java,2
Compiere_330_Source/release_330/base/src/org/compiere/model/MRequisition.java,1
Compiere_330_Source/release_330/base/src/org/compiere/model/MReturnPolicy.java,3
Compiere_330_Source/release_330/base/src/org/compiere/model/MTimeExpense.java,1
Compiere_330_Source/release_330/base/src/org/compiere/process/AssetDelivery.java,1
Compiere_330_Source/release_330/base/src/org/compiere/process/ExpenseAPInvoice.java,1
Compiere_330_Source/release_330/base/src/org/compiere/process/ExpenseSOrder.java,1
Compiere_330_Source/release_330/base/src/org/compiere/report/FinReport.java,1
Compiere_330_Source/release_330/base/src/org/compiere/report/MReportColumnSet.java,1
Compiere_330_Source/release_330/base/src/org/compiere/report/MReportLine.java,1
Compiere_330_Source/release_330/base/src/org/compiere/report/MReportLineSet.java,1
Compiere_330_Source/release_330/base/src/org/compiere/tools/FileUtil.java,1
Compiere_330_Source/release_330/base/src/org/compiere/util/ViewUtil.java,1
Compiere_330_Source/release_330/base/src/org/compiere/util/WebInfo.java,26
Compiere_330_Source/release_330/base/src/org/compiere/util/WebUser.java,3
Compiere_330_Source/release_330/install/src/org/compiere/install/ProgressPanel.java,1
Compiere_330_Source/release_330/print/src/org/compiere/excel/Excel.java,1
Compiere_330_Source/release_330/print/src/org/compiere/print/PrintDataGroup.java,1
Compiere_330_Source/release_330/print/src/org/compiere/print/ReportEngine.java,1
Compiere_330_Source/release_330/serverApps/src/main/servlet/org/compiere/wstore/PriceList.java,3
Compiere_330_Source/release_330/serverApps/src/main/servlet/org/compiere/wstore/RequestOrderRefTag.java,1
Compiere_330_Source/release_330/serverApps/src/main/servlet/org/compiere/wstore/RequestTypeTag.java,1
Compiere_330_Source/release_330/serverRoot/src/main/server/org/compiere/acct/Fact.java,1
Compiere_330_Source/release_330/tools/Src/org/apache/ecs/HtmlColor.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fit/FitServer.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fit/FitServerTest.java,2
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fit/TypeAdapter.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/closure/ClassMethodTarget.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/object/DomainObjectSetUpTraverse.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/parser/collection/ArrayParser.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/parser/lookup/ParseDelegation.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/traverse/function/FunctionTraverse.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/traverse/function/RuleTable.java,1
FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/xref/CrossReferenceFixture.java,1
JGroups-2/JGroups-2.10.0.GA.src/doc/tutorial/en/code/SimpleChat.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/JChannel.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/JChannelFactory.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/AbstractConnectionMap.java,3
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/BasicConnectionTable.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/ConnectionTableNIO.java,2
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/GridFile.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/GroupRequest.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/MultiRequest.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/PartitionedHashMap.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/ReplCache.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/Request.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/blocks/UnicastRequest.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/demos/Draw.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/demos/Draw2Channels.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/demos/JmxDemo.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/demos/QuoteServer.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/demos/TotalTokenDemo.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/persistence/DBPersistenceManager.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/BARRIER.java,3
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/DISCARD.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/FD.java,2
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/FD_ALL.java,4
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/MERGE2.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/RATE_LIMITER.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/S3_PING.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/SFC.java,2
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/TP.java,3
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/protocols/pbcast/NAKACK.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/stack/AckMcastSenderWindow.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/util/Metronome.java,2
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/util/Promise.java,3
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/util/Proxy.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/util/Queue.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/util/ResponseCollector.java,3
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/util/TimeScheduler.java,1
JGroups-2/JGroups-2.10.0.GA.src/src/org/jgroups/util/Util.java,4
JGroups-2/JGroups-2.10.0.GA.src/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java,2
JGroups-2/JGroups-2.10.0.GA.src/tests/junit-functional/org/jgroups/tests/NakackTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/junit-functional/org/jgroups/tests/SimulatorTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/junit/org/jgroups/tests/ChannelTestBase.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/junit/org/jgroups/tests/ConcurrentStartupTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/junit/org/jgroups/tests/GossipRouterTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/junit/org/jgroups/tests/MergeStressTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/junit/org/jgroups/tests/StateTransferTest.java,4
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/ChannelCallbackTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/GridFilesystemTest.java,2
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/LargeState.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/McastSenderTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/McastSenderTest1_4.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/TokenTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/UcastTest.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/other/org/jgroups/tests/ViewDeliveryDemo.java,2
JGroups-2/JGroups-2.10.0.GA.src/tests/perf/org/jgroups/tests/perf/IPerf.java,2
JGroups-2/JGroups-2.10.0.GA.src/tests/perf/org/jgroups/tests/perf/Test.java,1
JGroups-2/JGroups-2.10.0.GA.src/tests/perf/org/jgroups/tests/perf/transports/TcpTransport.java,1
antlr4-4.0/runtime/Java/src/org/antlr/v4/runtime/atn/ParserATNSimulator.java,1
antlr4-4.0/runtime/Java/src/org/antlr/v4/runtime/atn/SemanticContext.java,2
antlr4-4.0/runtime/Java/src/org/antlr/v4/runtime/misc/Utils.java,1
antlr4-4.0/runtime/Java/src/org/antlr/v4/runtime/tree/gui/TreeViewer.java,1
antlr4-4.0/tool/src/org/antlr/v4/codegen/CodeGenPipeline.java,1
antlr4-4.0/tool/src/org/antlr/v4/tool/Rule.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/ApplicationPreferences.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/TriMeshSimplifier.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/animation/AnimationPreviewer.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/image/ComplexImage.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/image/MovieEncoder.java,5
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/object/ObjectCollection.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/script/ScriptOutputWindow.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/script/ScriptedObjectEnumeration.java,1
aoisrc281/AoIsrc281/ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java,2
aoisrc281/AoIsrc281/HelpPlugin/src/HelpPlugin.java,1
aoisrc281/AoIsrc281/OSSpecific/src/artofillusion/osspecific/MacOSPlugin.java,1
aoisrc281/AoIsrc281/SPManager/src/artofillusion/spmanager/HttpSPMFileSystem.java,1
aoisrc281/AoIsrc281/SPManager/src/artofillusion/spmanager/SPMObjectInfo.java,2
aoisrc281/AoIsrc281/SPManager/src/artofillusion/spmanager/SPMParameters.java,1
aoisrc281/AoIsrc281/SPManager/src/artofillusion/spmanager/SPMSplitPane.java,1
aoisrc281/AoIsrc281/SPManager/src/artofillusion/spmanager/SPManagerFrame.java,1
aoisrc281/AoIsrc281/SPManager/src/artofillusion/spmanager/StringEncrypter.java,2
aoisrc281/ArtOfIllusion/src/artofillusion/ApplicationPreferences.java,1
aoisrc281/ArtOfIllusion/src/artofillusion/TriMeshSimplifier.java,1
aoisrc281/ArtOfIllusion/src/artofillusion/animation/AnimationPreviewer.java,1
aoisrc281/ArtOfIllusion/src/artofillusion/image/ComplexImage.java,1
aoisrc281/ArtOfIllusion/src/artofillusion/image/MovieEncoder.java,5
aoisrc281/ArtOfIllusion/src/artofillusion/object/ObjectCollection.java,1
aoisrc281/ArtOfIllusion/src/artofillusion/script/ScriptOutputWindow.java,1
aoisrc281/ArtOfIllusion/src/artofillusion/script/ScriptedObjectEnumeration.java,1
aoisrc281/ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java,2
aoisrc281/HelpPlugin/src/HelpPlugin.java,1
aoisrc281/OSSpecific/src/artofillusion/osspecific/MacOSPlugin.java,1
aoisrc281/SPManager/src/artofillusion/spmanager/HttpSPMFileSystem.java,1
aoisrc281/SPManager/src/artofillusion/spmanager/SPMObjectInfo.java,2
aoisrc281/SPManager/src/artofillusion/spmanager/SPMParameters.java,1
aoisrc281/SPManager/src/artofillusion/spmanager/SPMSplitPane.java,1
aoisrc281/SPManager/src/artofillusion/spmanager/SPManagerFrame.java,1
aoisrc281/SPManager/src/artofillusion/spmanager/StringEncrypter.java,2
apache-ant-1.8.4/src/main/org/apache/tools/ant/AntClassLoader.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/DirectoryScanner.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/input/DefaultInputHandler.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/launch/Locator.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/BuildNumber.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/CVSPass.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/Chmod.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/Execute.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/Javadoc.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/MacroDef.java,2
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/ProcessDestroyer.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/RecorderEntry.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/SubAnt.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogTask.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/cvslib/CvsTagDiff.java,2
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/EchoProperties.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/SchemaValidate.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/BriefJUnitResultFormatter.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTest.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/RExecTask.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/splash/SplashTask.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHExec.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/types/Commandline.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/types/resources/comparators/Date.java,1
apache-ant-1.8.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/PropertiesfileCache.java,1
